Tracy Giggs 1 gold 315138 9524 1111
Coral Sandon 2 platinum 310205 2589 1111
Ammamaria Pittwood 3 platinum 189272 5012 1111
June ODoohaine 4 gold 377613 8172 1111
Elisabet Cobleigh 5 bronze 388992 8939 1111
Alikee Heersma 6 bronze 472584 4657 1111
Queenie Sandys 7 gold 449705 1871 1111
Philomena Lewson 8 bronze 252321 4090 1111
Hank Garnam 9 silver 314222 5320 1111
Vivi Slingsby 10 silver 158421 1834 1111
Tildy Bruins 11 silver 401699 9622 1111
Hubie Clousley 12 bronze 400679 5588 1111
Arabella Yedall 13 platinum 307747 3080 1111
Kippy Winger 14 silver 62199 8529 1111
Brandea Snipe 15 platinum 406646 4070 1111
Adrianne Davoren 16 platinum 170468 6765 1111
Grant Kumar 17 silver 266741 8681 1111
Leonora Tresise 18 gold 128876 6244 1111
Fielding Harker 19 platinum 376945 7251 1111
Rubetta Lenin 20 silver 50976 8229 1111
Vite Perschke 21 platinum 248000 2239 1111
Vania Mabone 22 platinum 440497 3985 1111
Paulo Maskell 23 gold 172700 7731 1111
Lorilee OHarney 24 bronze 185351 9577 1111
Rosie Hamson 25 silver 125639 2263 1111
Van Shute 26 gold 190295 7951 1111
Kameko Martinek 27 platinum 36887 3928 1111
Jaine Simion 28 bronze 120057 9212 1111
Audie McCadden 29 gold 100569 1392 1111
Patsy Justun 30 gold 159025 2550 1111
Fay Agnolo 31 platinum 357209 2811 1111
Demetri Seegar 32 gold 288242 1348 1111
Donnajean Yaakov 33 gold 123055 1641 1111
Elicia Geikie 34 gold 175568 8361 1111
Dinnie Brombell 35 platinum 144017 5720 1111
Jeromy Tucsell 36 silver 74188 8348 1111
Aleen Crosscombe 37 bronze 29052 2528 1111
Michael Blain 38 gold 405803 4266 1111
Karla Boughen 39 silver 258885 5292 1111
Dolly Traves 40 gold 145624 3333 1111
Krystle Cordell 41 platinum 383091 9401 1111
Sky Marquez 42 bronze 187583 3261 1111
Danette Pleuman 43 platinum 356783 1641 1111
Pamela Ebbage 44 gold 205265 6913 1111
Marney Alcide 45 silver 211033 3296 1111
Augustine Severns 46 bronze 404068 1037 1111
Ursuline Darwood 47 gold 471295 5367 1111
Christye Sindle 48 silver 450404 6189 1111
Darbee Cason 49 gold 361720 1540 1111
Bennie Coling 50 gold 338551 4096 1111
Mallory Willgoss 51 bronze 406090 4112 1111
Madelon Goble 52 silver 361527 8894 1111
Linoel Saxton 53 bronze 132772 6806 1111
Royall Moat 54 bronze 163090 1161 1111
Austen Aiton 55 silver 70326 4505 1111
Gennifer Feige 56 platinum 14670 9583 1111
Timotheus Francescone 57 bronze 372501 5769 1111
Mervin Matteucci 58 bronze 37236 9532 1111
Cody Garside 59 platinum 436240 7717 1111
Eugenius Aizikovich 60 bronze 86259 8901 1111
Adelheid Tompkinson 61 gold 192106 9397 1111
Marco Wheowall 62 platinum 186822 1927 1111
Shir Adacot 63 platinum 340084 9748 1111
Giorgi Gomer 64 silver 431091 8200 1111
Mickie Haliburn 65 silver 491252 6535 1111
Cathleen Tooth 66 bronze 467180 1157 1111
Shanna Butten 67 silver 243939 2410 1111
Bordie Farebrother 68 bronze 362758 4172 1111
Colleen Farndell 69 silver 488695 4350 1111
Bern Pentelo 70 silver 217866 9818 1111
Cyndia Ruecastle 71 gold 65421 7221 1111
Hildegarde Scouller 72 platinum 331108 3041 1111
Ingmar Fruish 73 silver 106207 2231 1111
Ninetta Spoerl 74 silver 411089 7503 1111
Carol Dyhouse 75 platinum 373742 8700 1111
Jinny Allonby 76 silver 311202 8699 1111
Debora Maggs 77 silver 397603 8714 1111
Clay Mugford 78 silver 76912 9904 1111
Kimberli Reinhart 79 silver 274617 3996 1111
y Flaubert 80 silver 363497 2888 1111
Artur Fassman 81 platinum 284987 9341 1111
Gare MacKomb 82 silver 451203 8620 1111
Ina Thompkins 83 gold 91246 9807 1111
Doretta Franc 84 silver 78236 1715 1111
Shae Nazair 85 silver 264650 5942 1111
Aime Alldritt 86 gold 353860 2636 1111
Tades Carwithen 87 silver 458784 1951 1111
Joleen Arnett 88 gold 418198 2007 1111
Alf Kinningley 89 silver 88061 5932 1111
Moses Elvey 90 platinum 324177 6101 1111
Brnaby Yitzhok 91 bronze 293888 5699 1111
Jamesy Nequest 92 silver 279541 2242 1111
Wandie Measor 93 bronze 230897 9384 1111
Raynard Devenish 94 gold 360235 3157 1111
Shaun Payfoot 95 bronze 111116 9588 1111
Adriena Bowker 96 bronze 176906 4527 1111
Kendell Vela 97 silver 145923 2481 1111
Munroe Wadforth 98 platinum 488039 4979 1111
Arvie Delatour 99 silver 147903 8117 1111
Cirstoforo Rodden 100 silver 51974 3771 1111
Cati Morena 101 silver 365601 2190 1111
Jolie Duffitt 102 silver 380232 4486 1111
Siegfried Scandroot 103 platinum 492241 5666 1111
Skell Farrey 104 bronze 308814 7588 1111
Damien Gubbins 105 gold 458918 9746 1111
Athena Martusewicz 106 bronze 262104 4917 1111
Kala Bortoli 107 platinum 470525 3142 1111
Vinny Copo 108 bronze 303789 5483 1111
Joseito Nettles 109 silver 260665 5463 1111
Giustina Grose 110 silver 20010 5449 1111
Ravi Earengey 111 bronze 368145 5959 1111
Edan Olsen 112 platinum 391523 5295 1111
Maurita Eschalotte 113 platinum 442509 1914 1111
Nickie Pawellek 114 bronze 37860 6500 1111
Forbes Anfossi 115 platinum 31496 6049 1111
Carola Stuttman 116 gold 60028 8436 1111
Horacio Seakes 117 bronze 488870 1914 1111
Gene Mee 118 platinum 12644 2093 1111
Hunter Olorenshaw 119 gold 356260 2433 1111
Gusta Riping 120 bronze 226022 5016 1111
Georgeanne Sommerville 121 platinum 211413 9205 1111
Massimiliano Negro 122 gold 408997 3958 1111
Hamel Bovingdon 123 platinum 467474 9055 1111
Flor Pashen 124 gold 38759 7483 1111
Dalila Titta 125 bronze 71676 6844 1111
Verene Tolerton 126 bronze 165513 7683 1111
Cherry Brumby 127 bronze 386393 3562 1111
Jerrie Roose 128 platinum 357451 4398 1111
Olwen Cantera 129 platinum 317412 6783 1111
Lorraine Tutt 130 silver 375870 6148 1111
Ilene Geffcock 131 silver 282623 7830 1111
Rodney Willingale 132 gold 233133 8520 1111
Lishe Heinonen 133 gold 377212 3495 1111
Lilia Hardaway 134 gold 55844 5352 1111
Uriel Billany 135 platinum 66928 3638 1111
Karole Seth 136 silver 157346 2241 1111
Brewster Knappe 137 gold 251006 6633 1111
Samantha Corps 138 silver 235552 6635 1111
Willa Pottberry 139 bronze 333440 1144 1111
Adrien Petruszka 140 platinum 321966 9595 1111
Stafani Tipperton 141 silver 255760 4424 1111
Hartwell Casaro 142 silver 64742 9515 1111
Alanson Godding 143 bronze 53653 1138 1111
Benedetto Kryszka 144 platinum 306000 9124 1111
Eal Faye 145 platinum 79644 3932 1111
Felicdad Jakubski 146 silver 79087 5115 1111
Dian Elderton 147 gold 252284 6448 1111
Karlotte Piff 148 gold 164309 9088 1111
Iain Sambals 149 gold 354931 4266 1111
Louis Kemmer 150 gold 403475 7549 1111
Wakefield Jones 151 gold 308263 2937 1111
Velvet Waadenburg 152 gold 404065 5047 1111
Suzy Shemwell 153 platinum 488181 8119 1111
Chandal Petrussi 154 bronze 458149 9047 1111
Abelard Escritt 155 silver 65003 6308 1111
Alaster Pietersma 156 silver 69030 6087 1111
Ebonee Frickey 157 silver 66059 2522 1111
Peterus Pedrozzi 158 gold 329235 4450 1111
Lulita Donati 159 gold 193761 5691 1111
Valentino Allbut 160 platinum 275484 4875 1111
Derrek Piggen 161 silver 363545 7768 1111
Margie McLeman 162 bronze 395636 6926 1111
Kelli Elam 163 bronze 12923 1733 1111
Ilise Titterrell 164 bronze 69861 5374 1111
Kelley Bullan 165 silver 94033 4241 1111
Fayina Hutchcraft 166 bronze 258865 2382 1111
Nara Enrrico 167 silver 87148 3160 1111
Beverie Preece 168 platinum 326015 9366 1111
Veda Hallet 169 silver 263709 9416 1111
Anabelle Wilflinger 170 silver 295609 1964 1111
Brynna Drohan 171 gold 245213 1961 1111
Hendrick Ferrarin 172 gold 266211 3130 1111
Muffin Crosfeld 173 gold 6589 7362 1111
Pen Labin 174 bronze 367767 5499 1111
Celestyna Beauchamp 175 silver 461885 4728 1111
Vance Maybey 176 gold 309709 1511 1111
Marsiella Rosewall 177 silver 372327 8299 1111
Ann Bernakiewicz 178 bronze 190924 7333 1111
Coretta Rothera 179 silver 462156 4541 1111
Keeley Trenouth 180 platinum 476972 6689 1111
Dillie Josifovic 181 bronze 215189 4707 1111
Hadrian Cape 182 bronze 156899 1639 1111
Jena Melarkey 183 bronze 186631 5120 1111
Rik Friedenbach 184 bronze 280733 9267 1111
Man OCriane 185 silver 472433 8038 1111
Kalinda Rule 186 bronze 312090 5430 1111
Ber Presnail 187 gold 39077 7418 1111
Kliment Barrasse 188 bronze 398187 8038 1111
Catharina Dolman 189 platinum 448699 9360 1111
Nicolette Cayton 190 gold 13341 1259 1111
Gerri Huskisson 191 silver 271027 8803 1111
Ingrim Rivlin 192 silver 402305 9948 1111
Korey Musselwhite 193 gold 132472 6349 1111
Nixie Lacy 194 platinum 249097 7133 1111
Hansiain Yven 195 silver 371817 8377 1111
Reine Ends 196 silver 34218 8764 1111
Georgianne Schooling 197 silver 99735 7106 1111
Gabriellia Reilinger 198 bronze 41402 7868 1111
Des Erie 199 platinum 42430 4256 1111
Kale Crust 200 gold 487004 2964 1111
